comment_text,label
"massage for scum==
 Đoković will smash your boyfreind federer!
==",toxic
dawg you better shut up dont make fun of the US even though im not American aand DONT BE CALLING ME NO FUCKING DISHWASHER OR KICK YOUR FUCKING MONKEY ASS,highly-toxic
"HONDASAREGOODSEZ: (FIRST:I SHOULD BE A NIGGER SWINGING FROM A TREE, AND ONLY GAY SERBS LIKE ME ENJOY MASTURBATING TO TEEN POP IN MY FORD PINTOBEANERNIGGERMEXICAN!",toxic
"F*ck You 
Shut the fuck up you whiney ass little bitch! I'll do all the shit I want and you can go fuck yourself you jive ass turkey fucking cunt!",highly-toxic
"You've misrepresented my comment. I didn't say quoting is OR; quoting is alright if you're illustrating something from a secondary source. The hadith are primary sources because they are historical documents based on which historians make their conclusions. These conclusions are then published in books or articles, which are secondary sources citable on Wikipedia.  Talk",non-toxic
"""

 This article is filled with fake historical information 

I stopped reading at the """"Thraco-Romans and Thraco-Byzantines"""" sentence and I suggest you to do the same. Who wrote this article, some drunk greek??? Pffff""",toxic
"Fuck off!! 

Go and buy some Andrex and wipe your rats ass/face (delete as appropriate). Fuck you!!!",toxic
"Yea Boi 

Hello you took away my edit of Victor Cruz being #80 and you said i had no evidance. well, he is currently number 80. so how does it feel to have that mouth shut? you NEVER come after me AGAIN buddy. how does it feel? seriously? how does it TASTE to know you are only one thing! and that's WRONG WRONG WRONG WRONG WRONG!!!!",toxic
I missed that. Sorry.,non-toxic
"""

 That's nice. And your work has been """"constructive,"""" you WikiNazi Watermelon prevaricative putz? 71.125.130.14  """,toxic
"Prod Articles 

Just so you're aware, PRODs ARE a call to improve an article. Once an article is prodded, it's up to you to prove how the article meets Wikipedia's criteria for inclusion, specifically WP:NOTE and WP:V. Keep in mind that an IMBD page doesn't establish notability. Find a newspaper article or something.   Öomie",non-toxic
"""
Drop me an email and I'll send you the scan. -  """,non-toxic
"""
Hi, sorry your page got vandalised. If you could collect several IPs (they are editing from a dynamic IP) then we could try a range block. Please try not to take the vandalism too personally or too seriously. That is what they want to happen; it's called trolling. Best to WP:RBI: remove the post, block the user, ignore.  (Talk)""",non-toxic
"Lol, he's famous on the wikipedia tubes now. 64.230.43.189",non-toxic
I cannot resist another man's cock! I love it when I get railed with a foot long donkey dick.,toxic
I knew I was right & you know it too.,non-toxic
Some times thinks hes invincible and punches himself in the face repeatedly. Non religious and hates everyone.,toxic
Your a dirty wanker who loves little boys naked,highly-toxic
"Oh stop whining, you smelly little turd.  We know that YOU are the real wikipedia serial vandal here.   Oh, and you have missed about two thirds of the editing attacks on you by our team!  Come on, they feel unappreciated!  Add them to teh Runtshit list!  And we guarantee that we will be escalating!  And you should keep you eye on other non-wikipedia web sites as well.
- Rance to Gallows Now",toxic
"fuck u
rape my penis plz!",highly-toxic
", but feel free to abuse my 15 year old fag ass",highly-toxic
"Your absurd edits 

Your absurd edits on great white shark was total vandalism and was very sexual. All you edit here is fucking bullshit like spam all over this useful encyclopedia so stop all your bullshit. The admins have you everywhere. The only choice for you is to stop this bullshit or else you'll be blocked permanently. User:Factual80man",toxic
pussy bitch. delete things,toxic
"""

Do you contribute ANYTHING?
I'd like to know if you are a human or just a destructobot.... if you are a desructobot, can I say """"Fuck You"""" or does that disrupt your circuits?  What if I said """"Fuck You"""" in destructobot language?  That any different?  Let me know, dick.  """,highly-toxic
I don't care if the edit was right or not. It's been made clear that the order is discuss your major edits before making them. I seem to have missed the discussion.,non-toxic
"You are homosexual. You fuck people through the ass. You hire prostitutes. Your mom's a hooker!

You shud never have unprotected your page!",highly-toxic
"Please get AIDS 

Seriously get something terminal so you will finally get an opportunity to realise what a pathetic life you have.

Your complete inability to be constructive is enough to warrant my bile.

I hate you so much and feel sad too that something like you can make feel this way.

A true honor. 82.132.226.149",toxic
"template.  jacobolus (t) 22:39, 17 Apr 2005 (UTC)",non-toxic
"you suck 
you suck HangingCurve, you motherfucken bitch ass faggot, go to hell, yeah keep reporting me to admins and cry like a little bitch i know i've made you do so, and it's so fun to watch when you report me to admins cause you used to be one! well karma that's what you get for abusing your admin rights, if you were still an admin you would just block me and then maybe i'd get bored but i'll never get bored of you whining to admins like a little bitch",toxic
"Trash 

I has Vista, and IMO Vista operating system should be the trash. Alden(Sharon boyfriend) or talk",toxic
I can produce a birth certificate and photos of,non-toxic
"Last Warning 

Once again, don't give a fuck mr dumbass.

seriously, you people who eidt these wiki pages are fucking whores. i saw att he top of the page where it says if it is presented politely you'll look at it and change it if correct, well, maybe you wouldn't have to do that if you just actually researched what you were deleting instead of willy-nilly deleting everything you see.

i fucking hope you get raped.

seriously fuck you to death.

by the way, how much do you get paid to sit around with your dick up your fucking ass and un-edit people's shit? it must be alot because high paychecks make serious cocks

go get raped you no refernce knowing bastard.",highly-toxic
"YOU SUCK 

I HATE YOU> YOU CAN FUCK MY ASS ALL NIGHT BITCH SHit

Love , David Ortiz",highly-toxic
you cant delete it siece of shit fuck your mom,toxic
"Now Gaba p joins the long list of complete fucking assholes who revert every minor edit of the Younger Dryas impact hypothesis wiki page. Let me give you a clue, fuckface, you can't possibly justify reverting an edit that simply ads another tertiary peer reviewed publication related to this subject. It's inane, it's anal, it's uniformed and it's just plain wrong.",highly-toxic
"""

 You bitch 

You son of a bitch!You are the reason Resident Evil is going to hell(YouTube Wise)!!!I fucking hate you!All those """"fans"""" of yours are just nerds who think stupid jokes are funny.You should die and rot in hell!!!""",highly-toxic
"Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Gwern  (contribs) 16:28 9 January 2007 (GMT)",non-toxic
"""

ps: Having an anonymous IP does not mean being """"everybody`s sockpuppet""""""",non-toxic
"Hello ScrapIronIV, where is you problem you motherfucker? I try to make this page better and you deleted all my changes? Go to hell you fucking motherfucker!!!!!!!!!!!!!",highly-toxic
HA GAAAAAAAAAYYYYY,toxic
"People that are Douche Bags 

Fattyjwoods is a douche

I can't believe he would like a gay team like the Yankees, well I guess you got to be one to like one.

p.s.

FUCK GEORGE W. BUSH!",toxic
SHUT UP. GO FUCK YOURSELF YOU DIRTY CUNT.,highly-toxic
"and you are in what position to give out orders, dictate and judge exactly?
none. none whatsoever. you are only making yourself look absolute pathetic by saying such nonsense.
and with regards to your reference of the source being 'totally a reliable and accurate source, give me a break', very professional of yourself. fueled with anti-welsh sentiments too i gather.
let me know when you come to Seoul to visit your professional father. your comments prove that the professional genes haven't blessed yourself.",toxic
"Alright, you win, but can't you tell them that I think I got that guy blocked by mistake? Since they don't want me on other Wikipedias either. And they didn't know this guy was ok. Check it out for yourself he asked PMDrive he asked McDoob he did the help desk. Do you really think I might never redem though? Or that I can't/shouldn't be allowed just because? If you tell PMDrive about that account I might go away. Or do something. What else would you like? Stop doing iws? Never come back? I might do it if you tell them but if you don't I will come back for sure and say THE FOX AND THE HOUND RULES! Also, I still miss Collectian, even though they got me into this. Do you even think you would even know/care about this without her? As long as I have no say though, I AM getting revenge. I'm sorry, but I don't think it's fair. What could I do besides leave or not come here until I have a job? Watch Okapi7 destory The Rescuers, Robin Hood, and other articles? Want to undo some bad edits I find? I may never know. Or ever do anything good again. I am getting revenge somehow, I don't know how, but I will. I will buy you, I will mock you, I will continue to add these unblock templates, whatever it takes. Are there any banned users that have socked and gotten unbanned? Can I join them? Wikipedia just makes me sad. I do one or two things wrong and get this. Why oh why oh why I ask? Why? 68.220.162.147",non-toxic
Did you even read the sources? It does exist. 66.108.146.155,non-toxic
"Engineering categories

From: Wikipedia:Categorization:
'There are often occasions when articles might ideally be moved from a category to two or more of its subcategories, but not all of the subcategories exist. In such cases consider creating the additional subcategories, but if you decide not to do so, leave the articles in the parent category for the time being.' 

I have replaced the categories on Arup. If you feel there are better subcategories to put them in, feel free to create them. In the meantime, the article should stay in the engineering categories as it places the article in the right place should someone be looking for structural, civil, mechanical engineers etc",non-toxic
"""

Go on maps.google.com and type in """"pussy"""", it will go to """"Pussy, France"""" 24.129.237.34  """,toxic
"Hey 

I strongly think you should go fuck yourself (142.163.116.73  )",toxic
You are insane. What is wrong with writing an article about the year 3535?,toxic
"""

 What 

The fuck is going on here................ I don't even know if I should bother trying to fix this or just use my second account permanently. Shit, Indrian and Times probably playing some shit game here pretending to act like me and got all this shit on my page. I knew there was something wrong with those assholes when i saw them the first time. Guess I'll have to abandon this account. Hey  you still need to learn how to read links! Don't think I forgot! This isn't funny asshole! Guess what? I have been using another account and you don't even know what it is since the very first time I was blocked! Ha, keep playing your games, you aren't preventing me from editing piece of shit. Oh and  don't think I forgot about your 5 year old temper issues when anyone tries and fixes issues with your precious Dreamcast punk ass bitch. Lol, you guys did a number on this account. Probably found out what program I was using for the first BS account you made. 

I am impressed with how much damage you have done to this account, but it really means nothing when I am still editing every day on my personal internet and you have no idea which account it is. Oh and no it's not using a proxy or a public wifi spot. Heck, I may even try reporting this, all you idiots did was use proxy's, if I post on this account on my personal connection, and THEN appeal this I might just get my account back and get you idiots banned. I know exactly what you are going to do after this to wait until I log off, and then pounce with a new account. Sadly, looking at all this crap in my talk page, an admin would have to be retarded to not see how many of these """"accounts"""" that are proxies and not actual connections. You can only hide the smell of rotten fish for awhile before someone notices.

Shit, may was well clean this shit up. 

Oh wait a second one more thing, , what kind of retarded admin are you when having a bunch of almost all accounts pretending to be me are all on proxies and not ONE of them acts like me (did you even see my history?), and not one uses a real connection? Got that brain damage you do. had to put that in bold to be clear. Warning me about an indefinite block, lol, what does that matter, you already screwed up noticing what a 5 year old would have noticed by now. Any person would be frustrated by the silliness of this nonsense. I would appeal but something tells me to much shit damage and retarded admins will make this impossible, and I would rather not use the IP of my other account (using a real connection n my personal internet) because then you guys will probably be jackass and deleted for fun, look at this page! All this shit and nothing clicked in your small head? Amazing wikipedia. 

Also I need to take note to stay away from low ranked video game pages and focus on popular until you guys get tired of the act.

Also I KNOW you guys got an account that is going to post a bit after I submit this post I SAW him and he did the EXACT same thing 3 of the duded did, you guys need help, I can't believe not one guy was not like """"this shit don't make sense"""" for a whole second. Amazing.

Alright, so clean this page and leave this message here. Erase other extra crap. Alright, looks like we are in business. BTW, I know this is probably bull, but if any of you two actually are not trolling, which is highly unlikely, than post request an admin to come by so I can clear this account up. But I have this sinking feeling you guys all knew what's been going on here this whole time, and I have no patience to search through tons of pages to find ONE contact I can talk to about this block, so you might have this account, but you won't get the other one. Suck doesn't it? Until then, I will be going about my day and you guys will most likely probably still be doing this for X amount of days cause I guess you think it's funny? Yeah.

List of trolls
The official list of either trolls who got nothing better to do, or user who actually are so dumb that when the same thing happens over and over again the same way, they don't realize that there's something amiss.

One is a shit admin that posted a warning on this page. Two I had to deal with multiple times, and it seems they got something against me because they are making accounts trying to make admins believe they are me, yet they act more like them, even their edit summaries are just like theirs. If there are any sane admins left drop me a message so we can have a private conversation and I can prove things to open this account back up. In the mean time, I will be posting with my second account. It seems like t",highly-toxic
"Abey Chutiyaay wikipedian. 

Oye..

Ludayyy k baal you and Mr. Amartyabaag... what the fuck are you doing??

Laand!!! I will kick off your ass If I found you. bloody... I'm collecting the pic's and posting it to wiki's and you harmi baal bengali bokka chooda deleting the pic's...

Salley laudayy... you rectify the pic's no need to delete them. make it to a proper order if you feel like that due to more addition of pic's script is not being displayed then correct it.

Don't delete the pic's...

lannd k baal...",highly-toxic
May I also add that you're a cock and you should find something better to do with your time.,toxic
"""
For fucks sake, I wasn't referring you, or anyone in particular. I use one perfectly harmless phrase which simply implies a person is being stubborn and suddenly i'm attacking everyone. There's a difference between a personal attack and an opinion. But no, lets just twist everything I say because someone brought me to ANI, one of the very few times its happened since editing here, then tell me to leave, don't look at the good I do here or anythingTalk """,toxic
"Reverting constructive edits 

Why are you reverting my anonymous, but constructive and truthful, edits to the Dave Aitel article? Is it because you're gay?",toxic
"""Excuse me for rudely interrupting, but:

Just what the fuck is the purpose of this so-called article?

I ask this question in the existential sense of the word """"purpose"""". What possible purpose could this serve, other than '''your own voyeurism or compulsive curiosity?

Think about it. Now back to your small-minded list-making task. == 

""",toxic
"FUCK U CAMEROON

PROTECING ILLEGAL EDITS BY MOHAMAD AYOOB

U WILL BE HUNTED NOW",highly-toxic
"If not, I'm a fucking moron who should fuck off and stop being such an imbecile.",highly-toxic
"Fuck you asshole 

Fucking Bastard
you son of a bitch, asshole, motherfucker, go fuck ur mothers cunt, trade ur wife sister",highly-toxic
"That's fucken offensive, you scumbag, wishing someone my age another year of voyeurism in a violent world!. . . .",highly-toxic
"If you think SOAD is nu-metal.... 

You are a fucking goddamn retard and you should fucking die in a fucking fire.",highly-toxic
"""

-Why'd you delete the """"kufi smacker"""" bit, it's not anti-Islam. Juelz Santana, of Dipset, is a well known Muslim who associates with the """"kufi smacker"""" movement. By the way, let's start a """"kippa smacker"""" movement.""",non-toxic
A protest by itself has so much constructive purpose.  Admin POV pushing must stop.Prevention is better than cure.,non-toxic
stop  grinning u idiot. What I said waz true thus in the public interest. Not every comment has to be positive,toxic
"Comment This article describes the actions of living people, as such care needs to be taken to ensure it doesn't turn into a WP:ATTACK article. The SPLC designation and related criticism is already a substantial part of the article and any further expansion needs to balanced by non-negative content. I suggest a history section and details of politicians and others they may have supported.",non-toxic
FUCK OFF MY PAGE!!!!!!!!!!!!!!,highly-toxic
"""

 Quit complaining and watch the product 

Keep blocking and snitching, I will just keep fixing your biased opinions on the article. Have you even read what I contributed? You leave out so much valuable information and complain because I added time periods. You're such a crybaby, I get if you're upset about the time periods and while they're not acknowledged on a regular basis, they are time periods with certain names, not just """"Brand Extension"""". Keep whining, you can't win and if you somehow manage to block my edits, since I'm not a wiki expert, then you're just a wimp. A tattling, coward, wimp.""",toxic
"Because you're a DUMBASS, MastCell, that's why.",toxic
"Lame.  Now there's a term of art.  You date yourself, I think.  All of this could be settled if editors would simply use a mainstream news source rather than one which goes on to make a number of statements which are, to say the least, hotly disputed.  If there are questions about the truthfulness of those statements, there is a question about the truthfullness of these.  Unless, of course, that is why editors what to use the ISM site, in the hope that readers will read those questionable statements in their full vitriol.",non-toxic
I think you should definitely have discussed this in Wikipedia:WikiProject Music before making any changes. Flags in infoboxes are useful for seeing at-a-glance where artists are from. tc,non-toxic
Please see the etymology under History (In Talmudic and Geonic eras).,non-toxic
"Why did you stop my edit 

You fukin gay prick",highly-toxic
It is finished.   (call me Russ),non-toxic
"fucking die 

lol rofl 
joke

hahahahahahahaha

 U cant stop the vandal == though",highly-toxic
"There was a preview on the 9th, and then it officially opened on the 10th.",non-toxic
"Daniel or to whom it may concern,

Sorry it took me awhile to get back to you. Anyway my general area of  intrests is Country Music and Radio and what I would bring to them is accurate information. For example on the Radio articles  I would make sure it had enough information like On Air staff or  anything that the readers might be intrested in knowing about. and the same thing for Country music I would make sure the Country Music articlss has accurate information that Country fans like myself  would like to know About. I hope that made sense for you if it didn't let me know and I'll gladly give you an example.  Also, as for a username I would like to change it to Chase24. But Iam not sure if it's already taken but if it's available I would like that as my username.  

Lastly, I don't know if you're already aware but my  whole IP Address is blocked  from registering a new account and/or editing. Would it be Possible  to lift that block? It is not suppose to expire until  I believe the 8th of April but since I admitted I was wrong and Apologized and so fourth I was just curious if it's possible that it can be lifted early.

 If you have any questions feel free to ask.",non-toxic
DON'T BLOCK ME I AM RIGHT AND I FUCKING KNOW IT. BLOCK THAT ASSHOLE KANSAS BEAR OR SOMETHING. JUST LEAVE ME THE FUCK ALONE.,toxic
"Hey 

SUCK MY BALLZ BITCH",highly-toxic
"Sources
Sources for my changes com from Star Wars Wookipedia. They go the information from Star Wars .com. I would add it, but Star Wars Wookipedia woun't give me their sources. You'll locate the sources at Star Wars wookipedia and their sources.",non-toxic
"""

Non-league task force

Hey mate, long time no speak. Just to let you know that I've revamped the English non-league task force page to try and make it a better working project. I've added an assessments department which can keep track of the quality of non-league articles. I've also started a list of Featured and Good Articles within the scope of the task force. Thought you may like to take a look. Cheers.  (talk) """,non-toxic
"FUCK YOU 

FUCK YOU ASSHOLE",highly-toxic
"""

Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you.  talk """,non-toxic
"death to the infidel 

whoever that may be",highly-toxic
